time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/std,train/entropy_loss,train/explained_variance
19,1,172.07266235351562,129.83,1251,24576,,,,,,,,,,,
42,2,174.9363250732422,128.04,1164,49152,508.5074157714844,0.009993489583333333,0.2,-0.004623571612561743,0.004320517,5,0.0003,1065.745340983073,1.000222086906433,-17.027982966105142,-0.0031212568283081055
64,3,179.9093780517578,129.01,1148,73728,503.86199951171875,0.0005208333333333333,0.2,-0.0020291429090624055,0.0015123544,10,0.0003,1040.2105428059897,1.0008288621902466,-17.032961654663087,0.03783482313156128
86,4,176.2236785888672,129.95,1137,98304,484.524658203125,0.0004150390625,0.2,-0.0017709321420018873,0.0014008839,15,0.0003,1017.0113606770833,1.00094473361969,-17.038524373372397,0.08344227075576782
106,5,178.45538330078125,130.4,1150,122880,465.1087951660156,8.138020833333333e-05,0.2,-0.0013915362612654766,0.001048538,20,0.0003,977.4074340820313,1.0007747411727905,-17.037633260091145,0.1305491328239441
127,6,178.5254364013672,131.23,1153,147456,455.13555908203125,8.138020833333333e-06,0.2,-0.001147733349353075,0.00078471174,25,0.0003,961.4163818359375,1.0006672143936157,-17.035637029012044,0.18028128147125244
150,7,174.4976043701172,132.08,1144,172032,443.4710388183594,0.0,0.2,-0.0012264519231393934,0.0008203311,30,0.0003,930.2845052083334,1.0006343126296997,-17.034909947713217,0.23175650835037231
172,8,181.16192626953125,132.61,1138,196608,440.1590576171875,5.6966145833333334e-05,0.2,-0.0014187771749372283,0.0010060434,35,0.0003,924.4424845377604,1.0006083250045776,-17.034555435180664,0.2768073081970215
193,9,178.88279724121094,133.71,1140,221184,417.5052490234375,0.0,0.2,-0.0013598442892543972,0.0007486918,40,0.0003,879.9265502929687,1.000680685043335,-17.034856923421223,0.34378814697265625
214,10,180.87332153320312,133.8,1145,245760,409.18634033203125,0.0,0.2,-0.001198121984877313,0.0006076007,45,0.0003,866.046875,1.0009561777114868,-17.03667729695638,0.3754693865776062
236,11,178.1776885986328,134.45,1144,270336,406.2447509765625,8.138020833333333e-06,0.2,-0.001253682324507584,0.0006087087,50,0.0003,845.174072265625,1.0012973546981812,-17.040576934814453,0.4147394895553589
257,12,179.34571838378906,133.15,1147,294912,403.1969299316406,8.138020833333333e-06,0.2,-0.0010375649590666095,0.0007303415,55,0.0003,840.6331176757812,1.001714825630188,-17.04487075805664,0.4489324688911438
279,13,185.95074462890625,131.8,1143,319488,387.2394714355469,8.138020833333333e-06,0.2,-0.0013438617073309918,0.0008166057,60,0.0003,805.5241333007813,1.002013087272644,-17.04970842997233,0.49421805143356323
301,14,182.25042724609375,132.89,1139,344064,378.5639953613281,0.0,0.2,-0.0011100947992720952,0.00073153945,65,0.0003,777.8242106119792,1.0019463300704956,-17.05125986735026,0.5401787161827087
323,15,180.1125030517578,135.76,1138,368640,374.10516357421875,2.44140625e-05,0.2,-0.0014586270476380984,0.0009254136,70,0.0003,771.915205891927,1.0016692876815796,-17.048961639404297,0.5676316022872925
346,16,184.19544982910156,133.57,1135,393216,367.4779968261719,0.0,0.2,-0.0011703295167535543,0.0007020063,75,0.0003,756.7624837239583,1.0017154216766357,-17.046834818522136,0.5957931280136108
368,17,186.86460876464844,134.61,1134,417792,353.812255859375,3.255208333333333e-05,0.2,-0.001540992548689246,0.00078722794,80,0.0003,737.8036458333333,1.0023043155670166,-17.050528208414715,0.6125653386116028
388,18,187.2248992919922,136.01,1137,442368,326.07977294921875,6.510416666666667e-05,0.2,-0.0015278695985519637,0.0009591086,85,0.0003,685.1178344726562,1.0031291246414185,-17.0592222849528,0.655536413192749
409,19,189.7178955078125,134.97,1141,466944,312.3172912597656,8.138020833333333e-05,0.2,-0.0015400761816029747,0.001224889,90,0.0003,647.0361043294271,1.0036524534225464,-17.06787198384603,0.6996323466300964
430,20,191.75804138183594,134.07,1142,491520,309.13677978515625,0.000341796875,0.2,-0.0016628134646452964,0.0015670968,95,0.0003,645.0500528971354,1.0037579536437988,-17.071932983398437,0.7084656357765198
