time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/std,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates
1328,18,129.35,1,24576,170.91140747070312,,,,,,,,,,,
1270,38,129.06,2,49152,170.16722106933594,1.0003676414489746,0.2,0.0003,-17.029551823933918,0.0094482421875,0.004424750804901123,-0.004592134950992962,514.091064453125,1071.3993977864584,0.0041658883,5
1240,59,130.15,3,73728,171.22752380371094,1.0007904767990112,0.2,0.0003,-17.03365821838379,0.001025390625,0.044524550437927246,-0.002100505423732102,495.11114501953125,1048.1399536132812,0.0020077021,10
1246,78,130.73,4,98304,171.48976135253906,1.0015918016433716,0.2,0.0003,-17.040828450520834,0.000146484375,0.09133821725845337,-0.0013799001967223982,474.9807434082031,998.1413899739583,0.0011538947,15
1246,98,131.13,5,122880,176.71421813964844,1.002158522605896,0.2,0.0003,-17.050033823649088,0.00011393229166666667,0.13653171062469482,-0.0015532765227059522,474.2353210449219,1003.9191365559896,0.0010526801,20
1237,119,132.74,6,147456,177.97496032714844,1.0026315450668335,0.2,0.0003,-17.055632400512696,8.138020833333333e-06,0.1932762861251831,-0.0012903037558620175,449.6832275390625,948.2711669921875,0.0008163816,25
1221,140,133.53,7,172032,176.1421356201172,1.0030508041381836,0.2,0.0003,-17.061129252115887,3.255208333333333e-05,0.23466330766677856,-0.0013209248155665895,444.9228210449219,935.9999348958333,0.00080733636,30
1213,161,132.27,8,196608,178.35137939453125,1.0033429861068726,0.2,0.0003,-17.0654966990153,1.6276041666666666e-05,0.2856828570365906,-0.0011141994580005606,439.2452392578125,914.14052734375,0.0007980371,35
1197,184,133.04,9,221184,175.5112762451172,1.003740668296814,0.2,0.0003,-17.06908353169759,0.0,0.33876389265060425,-0.000893627421464771,425.1102600097656,892.2493693033854,0.0005340951,40
1197,205,137.39,10,245760,179.01641845703125,1.0042388439178467,0.2,0.0003,-17.074669774373373,0.0,0.3861684203147888,-0.0009553843410685658,424.0126953125,878.8666666666667,0.00043627303,45
1200,225,134.04,11,270336,182.26304626464844,1.004534363746643,0.2,0.0003,-17.079721705118814,2.44140625e-05,0.42652440071105957,-0.0014344322650382917,404.4768371582031,837.25,0.00083220453,50
1192,247,133.25,12,294912,178.21133422851562,1.0046663284301758,0.2,0.0003,-17.082176971435548,1.6276041666666666e-05,0.4583891034126282,-0.0014008850635339816,398.8317565917969,829.2718017578125,0.0010344278,55
