time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/std,train/clip_fraction
1261,19,127.59,171.7672119140625,24576,1,,,,,,,,,,,
1158,42,129.25,171.4056396484375,49152,2,5,-0.008582234382629395,0.0050368384,514.75830078125,0.2,0.0003,-17.0316468556722,1076.2065673828124,-0.0052337934728711845,1.0008280277252197,0.014249674479166667
1159,63,130.68,174.8164825439453,73728,3,10,0.0346064567565918,0.0017735268,501.2552490234375,0.2,0.0003,-17.04029083251953,1035.4983927408855,-0.0020929068559780717,1.0012784004211426,0.0007242838541666667
1149,85,133.07,169.57049560546875,98304,4,15,0.07537323236465454,0.0014931952,486.6504821777344,0.2,0.0003,-17.043603261311848,1021.5551513671875,-0.0019190958002582193,1.0014652013778687,0.0003662109375
1153,106,129.59,175.86544799804688,122880,5,20,0.12160146236419678,0.0009493981,475.3558654785156,0.2,0.0003,-17.04593671162923,998.376151529948,-0.0013180154841393233,1.0016776323318481,8.951822916666666e-05
1152,127,130.13,172.81849670410156,147456,6,25,0.17088520526885986,0.0006877734,458.2958984375,0.2,0.0003,-17.04759826660156,973.2042521158854,-0.001234213561595728,1.0017045736312866,4.0690104166666664e-05
1156,148,129.04,176.92041015625,172032,7,30,0.23043936491012573,0.0006134712,447.70501708984375,0.2,0.0003,-17.046882502237956,944.8987467447917,-0.0010040665278211237,1.0015374422073364,0.0
1160,169,130.18,180.13998413085938,196608,8,35,0.28183549642562866,0.0007984296,443.0180358886719,0.2,0.0003,-17.04540049235026,932.7604370117188,-0.0012822253551955025,1.0015686750411987,8.138020833333333e-06
1161,190,135.14,174.3107452392578,221184,9,40,0.3336285948753357,0.0008003555,420.1504821777344,0.2,0.0003,-17.047084426879884,889.3623575846354,-0.0015030156161325674,1.001766562461853,8.138020833333333e-06
1161,211,132.83,182.61944580078125,245760,10,45,0.37620872259140015,0.00069656107,414.92669677734375,0.2,0.0003,-17.049104181925454,869.5856119791666,-0.0012029816396534442,1.0018868446350098,2.44140625e-05
1164,232,131.21,178.5126190185547,270336,11,50,0.4310818910598755,0.0005401021,396.3975830078125,0.2,0.0003,-17.05134023030599,828.8323893229167,-0.0011161763221025466,1.0022295713424683,8.138020833333333e-06
1171,251,133.97,172.06768798828125,294912,12,55,0.4683908224105835,0.0005710556,395.66741943359375,0.2,0.0003,-17.055862172444662,827.2132975260416,-0.0009367285606761773,1.0025620460510254,0.0
1174,272,132.8,181.91049194335938,319488,13,60,0.4786721467971802,0.00069232425,403.4718017578125,0.2,0.0003,-17.059485244750977,845.68193359375,-0.0011649882323884716,1.0028913021087646,0.0
1177,292,132.68,183.2633056640625,344064,14,65,0.5293694734573364,0.00083686924,387.3345947265625,0.2,0.0003,-17.062060165405274,790.5109130859375,-0.001248546433635056,1.0028291940689087,0.0
1173,314,135.97,181.33999633789062,368640,15,70,0.5738842487335205,0.00091669644,367.7529296875,0.2,0.0003,-17.06042900085449,760.5590413411459,-0.0013461672118864954,1.0028046369552612,2.44140625e-05
1172,335,134.0,185.26123046875,393216,16,75,0.6001787185668945,0.0010552224,356.5304870605469,0.2,0.0003,-17.06103769938151,735.61689453125,-0.0014194865245372057,1.0028599500656128,7.32421875e-05
1167,357,132.68,185.99301147460938,417792,17,80,0.6126930713653564,0.0010691673,352.6380310058594,0.2,0.0003,-17.062567647298177,733.4475341796875,-0.0014915302007769545,1.003121256828308,0.00010579427083333334
