controller,t_s,com_x_m,com_y_m,com_z_m,vx_mps,vy_mps,pitch_deg,roll_deg,state_code
track,0.002,0.0370,0.0000,0.6710,0.0000,0.0000,0.00,0.00,0
track,0.022,0.0370,0.0000,0.6690,-0.0030,0.0000,0.00,0.00,0
track,0.042,0.0370,0.0000,0.6650,0.0400,0.0000,-0.20,0.00,0
track,0.062,0.0380,0.0000,0.6650,0.1120,-0.0000,-1.00,0.00,0
track,0.082,0.0380,0.0000,0.6650,0.1060,-0.0000,-1.80,-0.00,0
track,0.102,0.0380,0.0000,0.6660,0.0540,-0.0000,-2.30,-0.00,0
track,0.122,0.0370,0.0000,0.6660,0.0010,0.0000,-2.50,-0.00,0
track,0.142,0.0370,0.0000,0.6660,-0.0320,0.0000,-2.50,-0.00,0
track,0.162,0.0360,0.0000,0.6650,-0.0430,0.0000,-2.40,-0.00,0
track,0.182,0.0360,0.0000,0.6650,-0.0390,0.0000,-2.30,-0.00,0
track,0.202,0.0360,0.0000,0.6650,-0.0270,0.0000,-2.10,-0.00,0
track,0.222,0.0360,0.0000,0.6650,-0.0140,0.0000,-2.00,-0.00,0
track,0.242,0.0360,0.0000,0.6650,-0.0030,0.0000,-1.90,-0.00,0
track,0.262,0.0360,0.0000,0.6650,0.0050,0.0000,-1.80,-0.00,0
track,0.282,0.0360,0.0000,0.6650,0.0110,0.0000,-1.70,-0.00,0
track,0.302,0.0370,0.0000,0.6650,0.0140,-0.0000,-1.70,-0.00,0
track,0.322,0.0370,0.0000,0.6650,0.0160,-0.0000,-1.60,-0.00,0
track,0.342,0.0380,0.0000,0.6650,0.0170,0.0000,-1.50,-0.00,0
track,0.362,0.0380,0.0000,0.6650,0.0180,0.0000,-1.40,-0.00,0
track,0.382,0.0390,0.0000,0.6650,0.0190,0.0000,-1.30,-0.00,0
track,0.402,0.0390,0.0000,0.6650,0.0200,0.0000,-1.20,-0.00,0
track,0.422,0.0400,0.0000,0.6650,0.0200,-0.0000,-1.10,-0.00,0
track,0.442,0.0400,0.0000,0.6650,0.0200,-0.0000,-1.00,-0.00,0
track,0.462,0.0410,0.0000,0.6660,0.0200,-0.0000,-0.90,-0.00,0
track,0.482,0.0410,0.0000,0.6660,0.0190,-0.0000,-0.90,-0.00,0
track,0.502,0.0410,0.0000,0.6660,0.0190,-0.0000,-0.80,-0.00,0
track,0.522,0.0420,-0.0000,0.6660,0.0170,-0.0000,-0.80,-0.00,0
track,0.542,0.0420,-0.0000,0.6660,0.0160,-0.0000,-0.70,-0.00,0
track,0.562,0.0420,-0.0000,0.6660,0.0140,-0.0000,-0.70,0.00,0
track,0.582,0.0420,-0.0000,0.6660,0.0120,-0.0000,-0.70,0.00,0
track,0.602,0.0430,-0.0000,0.6660,0.0110,-0.0000,-0.70,0.00,0
track,0.622,0.0430,-0.0000,0.6660,0.0090,-0.0000,-0.70,-0.00,0
track,0.642,0.0430,-0.0000,0.6660,0.0070,0.0000,-0.70,-0.00,0
track,0.662,0.0430,-0.0000,0.6660,0.0050,0.0000,-0.70,-0.00,0
track,0.682,0.0430,-0.0000,0.6660,0.0030,0.0000,-0.70,-0.00,0
track,0.702,0.0430,0.0000,0.6660,0.0010,0.0000,-0.70,-0.00,0
track,0.722,0.0430,0.0000,0.6660,-0.0000,0.0000,-0.80,0.00,0
track,0.742,0.0430,-0.0000,0.6660,-0.0020,0.0000,-0.80,0.00,0
track,0.762,0.0430,-0.0000,0.6660,-0.0030,-0.0000,-0.80,0.00,0
track,0.782,0.0430,-0.0000,0.6660,-0.0040,-0.0000,-0.90,0.00,0
track,0.802,0.0420,-0.0000,0.6660,-0.0050,-0.0000,-0.90,0.00,0
track,0.822,0.0420,-0.0000,0.6660,-0.0060,-0.0000,-0.90,0.00,0
track,0.842,0.0420,-0.0000,0.6660,-0.0060,-0.0000,-1.00,0.00,0
track,0.862,0.0420,-0.0000,0.6660,-0.0070,-0.0000,-1.00,0.00,0
track,0.882,0.0420,-0.0000,0.6660,-0.0070,-0.0000,-1.00,0.00,0
track,0.902,0.0420,-0.0000,0.6660,-0.0070,-0.0000,-1.10,0.00,0
track,0.922,0.0410,-0.0000,0.6660,-0.0070,-0.0000,-1.10,0.00,0
track,0.942,0.0410,-0.0000,0.6650,-0.0070,-0.0000,-1.10,0.00,0
track,0.962,0.0410,-0.0000,0.6650,-0.0070,-0.0000,-1.10,0.00,0
track,0.982,0.0410,-0.0000,0.6650,-0.0060,0.0000,-1.20,0.00,0
track,1.002,0.0410,-0.0000,0.6650,-0.0060,0.0000,-1.20,-0.00,1
track,1.022,0.0410,0.0000,0.6650,-0.0450,-0.0090,-0.90,-0.20,1
track,1.042,0.0400,0.0000,0.6650,-0.1110,0.0010,-0.30,-0.40,1
track,1.062,0.0390,0.0010,0.6650,-0.1210,0.0170,0.40,-0.60,1
track,1.082,0.0390,0.0020,0.6650,-0.0910,0.0320,1.00,-0.80,1
track,1.102,0.0390,0.0030,0.6660,-0.0260,0.0420,1.20,-0.90,1
track,1.122,0.0390,0.0040,0.6660,0.0820,0.0490,0.60,-1.10,1
track,1.142,0.0400,0.0050,0.6670,0.1140,0.0550,-0.20,-1.30,1
track,1.162,0.0400,0.0070,0.6670,0.0840,0.0570,-0.80,-1.40,1
track,1.182,0.0390,0.0080,0.6670,0.0410,0.0560,-1.40,-1.60,1
track,1.202,0.0390,0.0090,0.6670,0.0040,0.0540,-1.80,-1.70,1
track,1.222,0.0380,0.0100,0.6670,-0.0240,0.0510,-2.10,-1.80,1
track,1.242,0.0360,0.0110,0.6670,-0.0510,0.0480,-2.40,-1.90,1
track,1.262,0.0350,0.0120,0.6670,-0.0790,0.0450,-2.50,-2.00,1
track,1.282,0.0330,0.0120,0.6670,-0.1110,0.0400,-2.40,-2.10,1
track,1.302,0.0320,0.0130,0.6670,-0.1410,0.0330,-2.10,-2.10,1
track,1.322,0.0300,0.0140,0.6670,-0.1570,0.0260,-1.70,-2.20,1
track,1.342,0.0280,0.0140,0.6670,-0.1430,0.0190,-1.30,-2.20,1
track,1.362,0.0270,0.0150,0.6680,-0.0830,0.0150,-1.40,-2.20,1
track,1.382,0.0260,0.0150,0.6680,-0.0090,0.0120,-1.90,-2.20,1
track,1.402,0.0250,0.0150,0.6690,0.0020,0.0020,-2.50,-2.20,1
track,1.422,0.0240,0.0150,0.6690,-0.0160,-0.0110,-3.00,-2.10,1
track,1.442,0.0230,0.0150,0.6690,-0.0370,-0.0210,-3.50,-2.10,1
track,1.462,0.0210,0.0150,0.6690,-0.0520,-0.0290,-3.90,-1.90,1
track,1.482,0.0200,0.0150,0.6690,-0.0650,-0.0360,-4.30,-1.80,1
track,1.502,0.0180,0.0140,0.6690,-0.0770,-0.0390,-4.60,-1.70,1
track,1.522,0.0160,0.0140,0.6700,-0.0860,-0.0410,-4.90,-1.60,1
track,1.542,0.0140,0.0130,0.6700,-0.0930,-0.0430,-5.10,-1.50,1
track,1.562,0.0120,0.0130,0.6700,-0.0980,-0.0440,-5.40,-1.40,1
track,1.582,0.0100,0.0120,0.6700,-0.1010,-0.0420,-5.60,-1.30,1
track,1.602,0.0080,0.0120,0.6700,-0.1030,-0.0390,-5.90,-1.20,1
track,1.622,0.0060,0.0110,0.6700,-0.1030,-0.0350,-6.20,-1.10,1
track,1.642,0.0030,0.0110,0.6710,-0.1030,-0.0280,-6.50,-1.10,1
track,1.662,0.0010,0.0110,0.6710,-0.1020,-0.0200,-6.80,-1.00,1
track,1.682,-0.0010,0.0110,0.6710,-0.1000,-0.0100,-7.10,-1.00,1
track,1.702,-0.0030,0.0110,0.6710,-0.0960,0.0010,-7.50,-1.00,1
track,1.722,-0.0050,0.0120,0.6710,-0.0890,0.0150,-7.90,-1.00,1
track,1.742,-0.0070,0.0130,0.6710,-0.0740,0.0350,-8.40,-0.90,1
track,1.762,-0.0090,0.0150,0.6710,-0.0570,0.0570,-9.00,-0.90,1
track,1.782,-0.0100,0.0170,0.6710,-0.0350,0.0840,-9.50,-0.80,1
track,1.802,-0.0100,0.0200,0.6710,-0.0160,0.1100,-10.10,-0.70,1
track,1.822,-0.0110,0.0230,0.6700,0.0070,0.1370,-10.80,-0.60,1
track,1.842,-0.0100,0.0260,0.6700,0.0280,0.1650,-11.40,-0.40,1
track,1.862,-0.0100,0.0310,0.6700,0.0570,0.1960,-12.20,-0.30,1
track,1.882,-0.0080,0.0350,0.6700,0.0900,0.2290,-13.10,-0.10,1
track,1.902,-0.0070,0.0410,0.6700,0.1170,0.2610,-13.90,0.10,1
track,1.922,-0.0050,0.0470,0.6700,0.1340,0.2920,-14.80,0.30,1
track,1.942,-0.0030,0.0530,0.6700,0.1410,0.3190,-15.50,0.50,1
track,1.962,-0.0010,0.0590,0.6690,0.1400,0.3420,-16.10,0.50,1
track,1.982,0.0000,0.0660,0.6680,0.1330,0.3610,-16.60,0.50,1
track,2.002,0.0020,0.0730,0.6660,0.1350,0.3770,-16.90,0.40,1
track,2.022,0.0040,0.0810,0.6640,0.1340,0.3980,-17.10,0.20,1
track,2.042,0.0060,0.0880,0.6620,0.1290,0.4010,-17.40,0.10,1
track,2.062,0.0080,0.0950,0.6610,0.1010,0.3710,-17.70,-0.20,1
track,2.082,0.0100,0.1010,0.6610,0.0350,0.3460,-17.70,-0.60,1
track,2.102,0.0120,0.1060,0.6610,0.0160,0.3170,-18.00,-0.90,1
track,2.122,0.0140,0.1110,0.6610,0.0170,0.2880,-18.50,-1.30,1
